MAC Id,Login Time,Session Time,Download,Upload
xx:xx:xx:xx:xx:xx,19-06-25 21:17,0:28:42,731,51
xx:xx:xx:xx:xx:xx,19-06-25 20:49,0:31:59,777,24
xx:xx:xx:xx:xx:xx,19-06-25 20:17,0:28:57,1214,36
xx:xx:xx:xx:xx:xx,19-06-25 19:48,0:27:16,575,21
xx:xx:xx:xx:xx:xx,19-06-25 19:20,0:27:33,281,46
xx:xx:xx:xx:xx:xx,19-06-25 18:53,0:27:58,349,29
xx:xx:xx:xx:xx:xx,19-06-25 18:25,0:32:03,697,187
xx:xx:xx:xx:xx:xx,19-06-25 17:53,0:28:38,888,646
xx:xx:xx:xx:xx:xx,19-06-25 17:24,0:31:49,771,206
xx:xx:xx:xx:xx:xx,19-06-25 16:52,0:27:48,478,27
xx:xx:xx:xx:xx:xx,19-06-25 16:24,0:28:37,1110,42
xx:xx:xx:xx:xx:xx,19-06-25 15:56,0:31:17,1548,56
xx:xx:xx:xx:xx:xx,19-06-25 15:25,0:32:57,353,51
xx:xx:xx:xx:xx:xx,19-06-25 14:52,0:32:36,883,38
xx:xx:xx:xx:xx:xx,19-06-25 14:19,0:31:38,286,19
xx:xx:xx:xx:xx:xx,19-06-25 13:47,0:28:40,367,16
xx:xx:xx:xx:xx:xx,19-06-25 13:19,0:31:52,538,43
xx:xx:xx:xx:xx:xx,19-06-25 12:47,0:30:50,80,30
xx:xx:xx:xx:xx:xx,19-06-25 12:16,0:29:47,524,41
xx:xx:xx:xx:xx:xx,19-06-25 11:46,0:28:06,2431,65
xx:xx:xx:xx:xx:xx,19-06-25 11:18,0:30:21,395,35
xx:xx:xx:xx:xx:xx,19-06-25 10:48,0:28:20,964,259
xx:xx:xx:xx:xx:xx,19-06-25 10:19,0:28:08,434,119
xx:xx:xx:xx:xx:xx,19-06-25 9:51,0:27:11,230,29
xx:xx:xx:xx:xx:xx,19-06-25 9:24,0:28:47,402,29
xx:xx:xx:xx:xx:xx,19-06-25 8:55,0:27:43,190,29
xx:xx:xx:xx:xx:xx,19-06-25 8:28,0:29:03,126,20
xx:xx:xx:xx:xx:xx,19-06-25 7:59,0:32:08,524,181
xx:xx:xx:xx:xx:xx,19-06-25 7:26,0:27:22,478,45
xx:xx:xx:xx:xx:xx,19-06-25 6:59,0:31:30,716,40
